video_id,frame_number,label,frame_id,file_path
2.mp4,1,Left,2.mp4_left_1.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/2.mp4_left_1.jpg
2.mp4,2,Left,2.mp4_left_2.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/2.mp4_left_2.jpg
2.mp4,3,Left,2.mp4_left_3.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/2.mp4_left_3.jpg
2.mp4,4,Left,2.mp4_left_4.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/2.mp4_left_4.jpg
2.mp4,5,Left,2.mp4_left_5.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/2.mp4_left_5.jpg
3.mp4,1,Left,3.mp4_left_1.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/3.mp4_left_1.jpg
3.mp4,2,Left,3.mp4_left_2.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/3.mp4_left_2.jpg
3.mp4,3,Left,3.mp4_left_3.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/3.mp4_left_3.jpg
3.mp4,4,Left,3.mp4_left_4.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/3.mp4_left_4.jpg
3.mp4,5,Left,3.mp4_left_5.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Left/3.mp4_left_5.jpg
4.mp4,1,Right,4.mp4_right_1.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Right/4.mp4_right_1.jpg
4.mp4,2,Right,4.mp4_right_2.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Right/4.mp4_right_2.jpg
4.mp4,3,Forward,4.mp4_forward_3.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Forward/4.mp4_forward_3.jpg
4.mp4,4,Forward,4.mp4_forward_4.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Forward/4.mp4_forward_4.jpg
4.mp4,5,Right,4.mp4_right_5.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Right/4.mp4_right_5.jpg
5.mp4,1,Right,5.mp4_right_1.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Right/5.mp4_right_1.jpg
5.mp4,2,Right,5.mp4_right_2.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Right/5.mp4_right_2.jpg
5.mp4,3,Right,5.mp4_right_3.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Right/5.mp4_right_3.jpg
5.mp4,4,Right,5.mp4_right_4.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Right/5.mp4_right_4.jpg
5.mp4,5,Right,5.mp4_right_5.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Right/5.mp4_right_5.jpg
10.mp4,1,Forward,10.mp4_forward_1.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Forward/10.mp4_forward_1.jpg
10.mp4,2,Stop,10.mp4_stop_2.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Stop/10.mp4_stop_2.jpg
10.mp4,3,Forward,10.mp4_forward_3.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Forward/10.mp4_forward_3.jpg
10.mp4,4,Stop,10.mp4_stop_4.jpg,/content/drive/MyDrive/Colab Notebooks/RL-AutoNav/training_frame_metadata/Stop/10.mp4_stop_4.jpg
